STT;Dự án;Website;Link Affiliate dự án;Gmail Đăng Ký;Trạng thái Ads;Loại;PHÂN TÍCH DỰ ÁN ;;;;;;;;;;;;;;;;
;;;;;;;Điểm mạnh;Điểm yếu;Mô Tả;Hoa hồng AFF + Thời Gian;Yêu cầu / Thời gian rút tiền;Cookie (Days);Cấm TK thương hiệu;Ngưỡng Thanh Toán;Có Quảng Cáo Không;Similar web Traffic;Similar web Search Volume (organic search);Key Traffic;CPC Trung Bình;Key Word;Hoa Hồng TB/sale;Quy đổi $-VN;CPC Tối Đa Cho Camp
1;;;;;;;;;;;;;;;;;;;;;;;
2;;;;;;;;;;;;;;;;;;;;;;;
3;;;;;;;;;;;;;;;;;;;;;;;
4;;;;;;;;;;;;;;;;;;;;;;;
5;;;;;;;;;;;;;;;;;;;;;;;
6;;;;;;;;;;;;;;;;;;;;;;;
7;;;;;;;;;;;;;;;;;;;;;;;
8;;;;;;;;;;;;;;;;;;;;;;;
9;;;;;;;;;;;;;;;;;;;;;;;
10;;;;;;;;;;;;;;;;;;;;;;;
11;;;;;;;;;;;;;;;;;;;;;;;
12;;;;;;;;;;;;;;;;;;;;;;;
