Campaign,Ad Group,Keyword,Match Type,Status
GGL-US-ProxySeller-01,Residential Proxies,buy residential proxy canada,Phrase,Enabled
GGL-US-ProxySeller-01,Residential Proxies,buy residential proxy turkey,Phrase,Enabled
GGL-US-ProxySeller-01,Residential Proxies,buy residential proxy uk,Phrase,Enabled
GGL-US-ProxySeller-01,Residential Proxies,buy residential proxy with credit card,Phrase,Enabled
GGL-US-ProxySeller-01,Residential Proxies,buy residential proxy crypto,Phrase,Enabled
GGL-US-ProxySeller-01,Residential Proxies,buy residential proxy paypal,Phrase,Enabled
GGL-US-ProxySeller-01,Residential Proxies,buy static residential proxy usa,Phrase,Enabled
GGL-US-ProxySeller-01,Residential Proxies,residential proxy price,Phrase,Enabled
GGL-US-ProxySeller-01,Residential Proxies,can you buy residential proxies on a chromebook and which chromebook is better,Phrase,Enabled
GGL-US-ProxySeller-01,Residential Proxies,buy residential proxy online,Phrase,Enabled
GGL-US-ProxySeller-01,Residential Proxies,buy residential proxy ukraine,Phrase,Enabled
GGL-US-ProxySeller-01,Residential Proxies,buy us residential proxy,Phrase,Enabled
GGL-US-ProxySeller-01,Residential Proxies,buy residential proxy unlimited bandwidth,Phrase,Enabled
GGL-US-ProxySeller-01,Residential Proxies,buy residential proxy with paypal,Phrase,Enabled
GGL-US-ProxySeller-01,Residential Proxies,how to buy static residential proxy,Phrase,Enabled
GGL-US-ProxySeller-01,Residential Proxies,buy residential proxy reddit,Phrase,Enabled
GGL-US-ProxySeller-01,Residential Proxies,how to buy residential proxy on nodemaven,Phrase,Enabled
GGL-US-ProxySeller-01,Residential Proxies,buy residential isp proxy,Phrase,Enabled
GGL-US-ProxySeller-01,Residential Proxies,buy residential proxy india,Phrase,Enabled
GGL-US-ProxySeller-01,Residential Proxies,buy bulk residential proxies,Phrase,Enabled
GGL-US-ProxySeller-01,Residential Proxies,buy residential proxy list,Phrase,Enabled
GGL-US-ProxySeller-01,Residential Proxies,buy mobile residential proxy,Phrase,Enabled
GGL-US-ProxySeller-01,Residential Proxies,buy residential static proxies,Phrase,Enabled
GGL-US-ProxySeller-01,Residential Proxies,buy residential proxy unlimited,Phrase,Enabled
GGL-US-ProxySeller-01,Residential Proxies,buy residential proxy socks5,Phrase,Enabled
