Campaign,Ad Group,Keyword,Match Type,Status,Monthly Search Volume (US),Est Top Bid Low ($),Est Top Bid High ($),Intent Level,AGOS Qualification
GGL-US-Joiin-01,Platform Consolidation,quickbooks consolidation software,Phrase,Paused,210,2.20,5.50,9/10,PASSED
GGL-US-Joiin-01,Platform Consolidation,quickbooks consolidated financial statements,Phrase,Paused,320,1.80,4.20,8.5/10,PASSED
GGL-US-Joiin-01,Platform Consolidation,xero consolidated reporting,Phrase,Paused,170,1.50,3.80,9/10,PASSED
GGL-US-Joiin-01,Platform Consolidation,xero multi company reporting,Phrase,Paused,140,1.40,3.50,8.5/10,PASSED
GGL-US-Joiin-01,Financial Consolidation,financial consolidation software,Phrase,Paused,1300,3.50,9.00,9.5/10,PASSED (Needs Max CPC Control)
GGL-US-Joiin-01,Financial Consolidation,consolidated financial statements software,Phrase,Paused,480,2.10,5.80,9/10,PASSED
GGL-US-Joiin-01,Multi-Entity Reporting,multi entity accounting software,Phrase,Paused,880,3.00,7.50,8.5/10,PASSED
GGL-US-Joiin-01,Multi-Entity Reporting,multi company reporting software,Phrase,Paused,340,1.90,4.60,8.5/10,PASSED
GGL-US-Joiin-01,Competitor Alternative,fathom reporting alternative,Phrase,Paused,110,1.20,3.20,9.5/10,PASSED
GGL-US-Joiin-01,Financial Reporting,best financial reporting software for small business,Phrase,Paused,720,1.60,4.10,8/10,PASSED
